Image,Order No.,Order Date (dd-mm-yyyy),Client Name,University/ College Name,Client District,Client State,Client Pin Code,Book No.,Book Sr. No.,Book Date (dd-mm-yyyy),Product Name,Product Quantity,Product Unit,Unit Price (INR/Unit),Total amount (INR),Tax amount (INR),Delivery/Forwarding charges,Grand Total amount including Tax (INR),Dispatched through (Agency Name),Dispatch RR/ GR No.,Dispatch Date (dd-mm-yyyy),Date  of material receipt (dd-mm-yyyy),Autorised signatory from Standard Library Service
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,Owner Slips - Printed one side on white art paper. Self Adhesive,3000,Th.,680,2040,,,,,,,,
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,"Book Cards- Size 3""*5"". Printed both sides on heavy wt. Green Card.",2000,Th.,780,1560,,,,,,,,
,NIPFP/LIB/2013/3089,1/4/2013,The Sr. Library & Information Officer,National Institute of  Public Finance & Policy,-,New Delhi,67,1,B/9,10/5/2013,"Book Cards- Size 3""*5"". Yellow",2000,Th.,780,1560,562.5,,11812.5,-,-,-,-,
,-,-,Dev Samaj Modern School,-,-,New Delhi,110065,1,B/10,11/5/2013,Book Pokcets- Bag shaped. Printed as per your sample. Yelloe,5000,Th.,750,3750,,,,,,,,
,-,-,Dev Samaj Modern School,-,-,New Delhi,110065,1,B/10,11/5/2013,"Borrower's Tickets- Size 3""*3/4"". Made of thick Card reinforced with cloth. Printed as per your sample. Blue Colour.",5000,Th.,2800,14000,887.5,,18637.5,-,-,-,-,
,-,-,Dev Samaj Modern School,-,-,New Delhi,110065,1,B/11,11/5/2013,"Plastiv Readers Tickets - 2""*3"". PRINTED as per your sample. Royal Blue colour with printed slips.",1000,Each,4.5,4500,562.5,,5062.5,-,-,-,-,
,7(6)/2011-12/1627,30-04-2013,The Director General,New Services Division,-,New Delhi,-,1,B/12,23-05-2013,Accession Registers- 5000 entries. Leather Bound.,5 Nos.,Each,680,3400,,,,,,,,
,7(6)/2011-12/1627,30-04-2013,The Director General,New Services Division,-,New Delhi,-,1,B/12,23-05-2013,Daily Issue Registers- 200 leaves. Leather Bound.,5 Nos.,Each,680,3400,,,,,,,,
,7(6)/2011-12/1627,30-04-2013,The Director General,New Services Division,-,New Delhi,-,1,B/12,23-05-2013,Book Labels- Self Adhesive Sticker Sticker type. Rect. Shape,5000,Th.,130,650,,,,,,,,
,7(6)/2011-12/1627,30-04-2013,The Director General,New Services Division,-,New Delhi,-,1,B/12,23-05-2013, -do-  -do- Red Border Printed,5000,Th.,140,700,407.5,,8557.5,-,-,-,-,
